UserScreenName,UserName,Timestamp,Text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Queretano Orgullo de México,@QroOrgulloDeMx,2021-04-02T05:22:23.000Z,"Replying to 
@poplabmxDespués de leer esto me queda claro que el periodismo esta en una severa crisis 
#Articulo19 #ProteccionSelectiva",🤣 🤦,,,,[],https://twitter.com/QroOrgulloDeMx/status/1377853898283704321
JorgeAlberto ChanCob,@jorgechancob,2021-04-02T05:19:36.000Z,"""En #QuintanaRoo, quienes ejercen el #periodismo y defendemos los #DerechosHumanos, estamos convencidos de que tanto #Articulo19 como #LydiaCacho, no tienen que ver nada con la defensa de los #DDHH y los de #periodistas en particular"".
¤Sirve a la #derecha
https://cambio22.info/articulo-19-organizacion-al-servicio-de-la-derecha-en-mexico-quintana-roo-su-laboratorio/…",,,,,['https://pbs.twimg.com/media/Ex8eLkdXAAIBxJ2?format=jpg&name=medium'],https://twitter.com/jorgechancob/status/1377853197440667650
Miguel Ángel Sánchez,@Miguel_Tresmas,2021-04-02T05:06:35.000Z,".
@article19mex
 #Articulo19",,,,1,[],https://twitter.com/Miguel_Tresmas/status/1377849922251198465
Vladimiro Mayakovski,@VladimiroMIUR,2021-04-02T05:05:25.000Z,"Va saliendo más sobre las agencias golpistas que financian entre otros a #Articulo19 
@article19mex
USAID ha dado fondos por 3 mil millones de dólares en México desde 2007 y no sabe qué se hizoUSAID ha dado fondos por 3 mil millones de dólares en México desde 2007 y no sabe qué se hizo
La Iniciativa de Mérida es un plan antidrogas que aporta no solo recursos, sino también equipos, tecnología, inteligencia y formación.
sinembargo.mx",,,,,['https://pbs.twimg.com/card_img/1377774653654044674/fGmGfCxM?format=jpg&name=small'],https://twitter.com/VladimiroMIUR/status/1377849630092836864
Sergio Cárdenas,@sacardenas,2021-04-02T05:04:10.000Z,"El nivel al que ha caído 
@lajornadaonline
 es nauseabundo. Ya son algo así como el Granma. #Articulo19Benjamín Pimentel
@Benja_Pimentel
 · 10h
Que vergüenza y marranada lo que publica hoy La Jornada.",,,,,"['https://pbs.twimg.com/profile_images/1245281536917848064/eGW-RhSz_mini.jpg', 'https://pbs.twimg.com/media/Ex6UXyvWgAUcReS?format=jpg&name=900x900']",https://twitter.com/sacardenas/status/1377849315473887232
Códigos,@codigosgto,2021-04-02T04:18:37.000Z,"Autoridades #BajaCalifornia esposan a reportero durante transmisión. #Morena #4T #AMLO #Articulo19 #CodigosNewsDenise Ramos
@deniseramosm
 · 2h
Detienen a reportero por intentar grabar la jornada de vacunación en Tijuana. ¿Qué es esto, Suecia?",👠,,3,,"['https://pbs.twimg.com/profile_images/1377110179938926594/XKFq70wK_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1377636565178982407/pu/img/XVb5FVQYHvwrZK4p.jpg']",https://twitter.com/codigosgto/status/1377837850222329859
J.J.Ruiz,@J2RUIZA,2021-04-02T04:17:22.000Z,"Como siempre la Libertad de Expresión es un derecho, sí y solo sí, hasta el momento que tocan mi interés y a mis amig@s de #Articulo19Témoris Grecko
@temoris
 · 15h
Una portada para la historia de las vergüenzas del periodismo mexicano.
¿Alguien se dio cuenta cuándo nombraron director de La Jornada a El Chapucero?",,,,,"['https://pbs.twimg.com/profile_images/3054605652/1b95b46893fd626df2ea5904f640b980_mini.jpeg', 'https://pbs.twimg.com/media/Ex5MvQ3XEA06uX1?format=jpg&name=900x900']",https://twitter.com/J2RUIZA/status/1377837535511027713
Divergente - Ismael Rojas,@ismasan7,2021-04-02T04:16:32.000Z,"Replying to 
@SinLinea_Mx
 and 
@MalthusGamba#LaJornada #Articulo19  #aristegui",📌 💵 😲,,,,['https://pbs.twimg.com/card_img/1377799113543139329/o9StXku8?format=jpg&name=240x240'],https://twitter.com/ismasan7/status/1377837326395670529
Emilia Córdova,@nonsensicalpunk,2021-04-02T04:13:02.000Z,"Qué pena, ahora van a defender el falso periodismo y como siempre todos están en contra del querido presidente #LaJornada #Articulo19Tito Garza Onofre
@garza_onofre
 · 15h
Como se publicó     /     Como se lee",,,,,"['https://pbs.twimg.com/profile_images/1321253339581968388/UxkuNF1m_mini.jpg', 'https://pbs.twimg.com/media/Ex5SWtvWgAQc4BU?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Ex5SXkBXMAUpaG_?format=jpg&name=360x360']",https://twitter.com/nonsensicalpunk/status/1377836446116159488
J.J.Ruiz,@J2RUIZA,2021-04-02T04:10:56.000Z,"Replying to 
@monerorape
 and 
@lajornadaonlineEntonces criticar #Articulo19 no es ético?

¿La libertad de expresión, ahora estará sujeta a la censura de 
@article19mex
 autorice si es ético?

¿Quién determina los límites de la ética en el uso de la Libertad de expresión?",,,1,2,[],https://twitter.com/J2RUIZA/status/1377835920078950408
Andrés de la Peña,@andres_dlap,2021-04-02T04:07:56.000Z,"Resulta que 2 mil 93 mdp (18.12%) están dedicados a actividades en colaboración con el Gobierno de México en alguno de los 3 órdenes.

Es decir que el gobierno de México, incluyendo al federal, accede o se beneficia del mismo financiamiento con el cual tacha a #Articulo19 

(4/5)",,1,,,[],https://twitter.com/andres_dlap/status/1377835164202586113
Andrés de la Peña,@andres_dlap,2021-04-02T04:07:55.000Z,"La realidad sobre el financiamiento de #Articulo19 

Abro
(al final subo la base de datos usada)

#AMLO acusó a 
@article19mex
 por recibir fondos de E.U.A. Sin embargo, el Gobierno de México accede al mismo financiamiento, en la misma modalidad, y en mayor medida. (1/5)",🧵,1,,2,['https://pbs.twimg.com/media/Ex7_Z1uWYAUJOQ-?format=jpg&name=small'],https://twitter.com/andres_dlap/status/1377835160767492098
ClaroyDirectomx,@claroydirectomx,2021-04-02T04:05:48.000Z,"Responde #Artículo19, acusaciones de #AMLO son para desviar la atención y evadir la #ley
 https://cydnoticias.mx/2021/04/01/responde-articulo-19-acusaciones-de-amlo/…
@lopezobrador_
 @article19orgResponde Artículo-19, acusaciones de AMLO son para desviar la atención y evadir la ley - Claro y...
Artículo 19, presentó una denuncia formal el 5 de junio de 2020 ante la Secretaría de la Función Pública, mes y medio después, el 26 de julio,
cydnoticias.mx",🔴 👉,,,,['https://pbs.twimg.com/card_img/1377834493348872193/8oXEHo3E?format=jpg&name=small'],https://twitter.com/claroydirectomx/status/1377834626471899140
