UserScreenName,UserName,Timestamp,Text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Julián Andrade,@jandradej,2021-04-02T03:40:24.000Z,"Notimex: el escándalo de los comisarios https://julianandradejardi.com.mx/2021/03/31/notimex-el-escandalo-de-los-comisarios/…  #NotimexNotimex: el escándalo de los comisarios
Julián Andrade.- Desde diciembre de 2018 inició la destrucción de Notimex. Una de las primeras medidas para logarla, fue la designación de Sanjuana Martínez como su directora, lo demás ya es su con…
julianandradejardi.com.mx",,,1,2,['https://pbs.twimg.com/card_img/1377248592247726082/4jOj3ipz?format=jpg&name=small'],https://twitter.com/jandradej/status/1377828234742661120
Debbie Coronado,@Debbie_tico,2021-04-02T03:13:25.000Z,"El 45% de los mexicanos nunca se ha realizado un examen auditivo - 
@Notimex
, Agencia de Noticias del Estado Mexicano #Notimex #SaludEl 45% de los mexicanos nunca se ha realizado un examen auditivo
Ingresa a https://notimex.mx/
notimex.mx",,,,,['https://pbs.twimg.com/card_img/1376896883554197508/alCLsKm_?format=jpg&name=small'],https://twitter.com/Debbie_tico/status/1377821442407067649
Samuel Cortés Hamdan,@cilantrus,2021-04-02T03:12:37.000Z,"Conversamos con el Mariachi Ninja a propósito del caso #Notimex y los persistentes y protegidos abusos de 
@SanjuanaNotimex
 contra periodistas mexicanos.Más #Impunidad para #SanjuanaMartinez en #Notimex | Entrevista con...
Hoy nos acompañan Ingrid, Samuel y Adrián, extrabajadores de Notimex llevados por el equipo de la propia Sanjuana Martínez. La #SFP y el presidente avalan má...
youtube.com",,,,,['https://pbs.twimg.com/card_img/1377819361612816389/EuDaeQg1?format=jpg&name=240x240'],https://twitter.com/cilantrus/status/1377821240614912000
ClaroyDirectomx,@claroydirectomx,2021-04-02T02:51:21.000Z,"El Departamento de Estado de los #EstadosUnidos acusó a #SanjuanaMartínez, directora de #Notimex, de haber orquestado ataques contra reporteros de #México
 http://ow.ly/8k4G30rD6qY
 #Periodistas 
@SanjuanaNotimex
 @NotimexEU acusa a Sanjuana Martínez, directora de Notimex, de atacar a...
El Departamento de Estado de los Estados Unidos acusó a la periodista Sanjuana Martínez, directora de Notimex, de haber orquestado ataques contra reporteros ...
youtube.com",🔴 ➡,,,,['https://pbs.twimg.com/card_img/1377815792331411459/K_o0NT8a?format=jpg&name=240x240'],https://twitter.com/claroydirectomx/status/1377815889425395712
LETRINus,@letrinus,2021-04-02T02:41:04.000Z,"Esto no saldría en #latinus : #Artículo19, ataca permanentemente a #SanjuanaMartínez, que es periodista también. 
Al mismo tiempo, defiende a los periodistas ligados a la corrupción que imperaba en #Notimex, nido de vividores y dirigentes sindicales deshonestos.",,,1,1,['https://pbs.twimg.com/media/Ex755VRVcAQLCLH?format=jpg&name=small'],https://twitter.com/letrinus/status/1377813302185582594
Ale Navarro,@NAsteroide,2021-04-01T22:28:21.000Z,"No nos toca hincarnos ni halagar al poder: Artículo 19; enfrentamos maquinaria muy aceitada: Reguillo | Aristegui Noticias 
“La libertad de expresión sigue siendo... un privilegio de los poderosos, de quien detenta el poder político” 
#Articulo19 #Notimex",,,,,[],https://twitter.com/NAsteroide/status/1377749703723524096
La Jornada BC,@LaJornadaBC,2021-04-01T22:02:21.000Z,"Por falta de elementos archivan denuncia contra la directora de #Notimex; ""se reafirma mi inocencia ante las difamaciones y la campaña de acoso y linchamiento"", dice Sanjuana Martínez

https://editportal.jornadabc.mx/tijuana/01-04-2021/por-falta-de-elementos-archivan-denuncia-contra-directora-de-notimex…",,,1,,['https://pbs.twimg.com/media/Ex66GoRWYAMvu-Z?format=jpg&name=small'],https://twitter.com/LaJornadaBC/status/1377743160743489542
Un empleado Inconforme,@EmpleadoUn,2021-04-01T21:53:35.000Z,"Sanjuana Martínez llegó a decir que quería convertir a #Notimex en la “BBC mexicana”, pudo serlo, pero su ego no se lo permitió. Este reportaje, realizado por la BBC es contundente. Es una lástima, en verdad el camino que ahora lleva la agencia bajo su dirección.Reha Kansara
@rehakansara
 · Aug 8, 2020
It aimed to become the “BBC of Mexico”. State news agency Notimex was turning over a new leaf. But now it’s been accused of attacking its critics online.

By me and @marcosmchacon for @BBCtrending. It’s a compelling listen 
.

https://podcasts.apple.com/gb/podcast/trending/id739773408?i=1000487482825…
Show this thread",🎧,,3,2,"['https://pbs.twimg.com/profile_images/1361985604209278977/u-0-HOIX_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1292019534044569600/pu/img/ciobjRk_XW6sBrsZ.jpg']",https://twitter.com/EmpleadoUn/status/1377740956074659842
El tío,@Yomero515,2021-04-01T21:29:40.000Z,"Replying to 
@AlfredoLeconaMuchos de los que trabajan con San Pendejo están igual de loquitos que él. Parece requisito. 
#Notimex #Sanjuana #AMLO #SanjuanaMartinez #Article19",,,,,[],https://twitter.com/Yomero515/status/1377734934702481408
Flores Del Paraíso,@FloresDelParas1,2021-04-01T21:29:27.000Z,Que cochinero todo eso de #Notimex hay que tener la cara muy dura para utilizar el dinero de los contribuyentes para atacar a periodistas. Y todavía el cínico de AMLO dice que Sanjuana Martínez es una gran periodista.,,,,3,[],https://twitter.com/FloresDelParas1/status/1377734883389366275
GerardoA,@gerardoaz1993,2021-04-01T21:07:48.000Z,"Está una campaña de Desprestigio. contra la periodista 
@SanjuanaNotimex
.
  por el casó de 
@Notimex
 por se lanzan contra ella. y otros periodistas, al casó ahí interéses que les están afectado. que ella siga adelante de 
#Notimex, no se dejé intimidar.

 estamos con Usted!!",,2,3,13,[],https://twitter.com/gerardoaz1993/status/1377729432409014272
Gonzalo Romeu del Castillo Prieto Hope,@gromeup,2021-04-01T20:57:09.000Z,"Replying to 
@chavodeltoro
 and 
@article19mexCon información de #Notimex",,,,,[],https://twitter.com/gromeup/status/1377726752143802368
Luis E. Sánchez,@Luisenriquesan,2021-04-01T20:57:00.000Z,"Es por eso y por otras razones que hay que analizar con lupa lo que está pasando en el caso mexicano. #articulo19
#NoMurioLaMataron #AMLO #Notimex #SanjuanaMartinez #SanjuanaNoEstasSola 
@DiegoRuzzarin
: opinión?",,,,,[],https://twitter.com/Luisenriquesan/status/1377726714722316296
Yo tu soberana.,@wnubew,2021-04-01T20:56:34.000Z,Bueno sigue #Telmex sin conectarmei.linea de teléfono e internet pero sus instalaciones así. Solo tienen un alambrito para abrirlas a lo mejor hay que buscar a quien darle su propina y reconecte. #TelmexSoluciona #tvazteca  #TVVNoticias #Notimex,,1,,,['https://pbs.twimg.com/media/Ex6rC_TWUAMbB-4?format=jpg&name=small'],https://twitter.com/wnubew/status/1377726607796867075
Enrique Crespo,@enryckqueCr,2021-04-01T20:52:00.000Z,"La naturaleza proporciona alimentos, aire limpio, agua y mucho más… pero el cambio climático y la pérdida de ecosistemas y biodiversidad amenaza este bienestar: WWF. #Notimex #Internacional¡Apaga la luz! Exhorto a favor del planeta
Con el llamado para apagar la luz eléctrica durante 60 minutos, millones de habitantes de unos 200 países participarán este sábado en La Hora del Planeta, convocada para reflexionar sobre el aceler...
tribunadeloscabos.com.mx",,,,,['https://pbs.twimg.com/card_img/1376274799861788673/2YAogjd3?format=jpg&name=small'],https://twitter.com/enryckqueCr/status/1377725455856324609
ENTÉRATE,@enterate_qro,2021-04-01T18:07:45.000Z,"YA CHOLE 
 #Artículo19 pertenece al movimiento conservador que está en nuestra contra: #AMLO, al defender a Sanjuana Martínez, directora de #Notimex; a quien el gobierno de Estados Unidos señala por orquestar ataques contra periodistas.",🤓 🤣,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1377684046675902465/pu/img/UfYcAaNGRgTZvpMm.jpg'],https://twitter.com/enterate_qro/status/1377684123700105219
ATiempo.Tv,@ATiempoTv,2021-04-01T17:48:33.000Z,"La directora de #Notimex ha sido señalada por emprender una campaña en contra de extrabajadores de la agencia y de otros periodistas que han dado voz a los denunciantes.
Véase: https://bit.ly/3maY2MZ
#Lamananera #UltimasNoticias",,,,,['https://pbs.twimg.com/media/Ex5_fuUWEAIoYvl?format=jpg&name=small'],https://twitter.com/ATiempoTv/status/1377679290364534784
Ibero 90.9 FM,@Ibero909FM,2021-04-01T17:36:47.000Z,"Señalamientos de #AMLO buscan desviar la atención de la documentación de 
@article19mex
 sobre ataques de San Juana Martínez a trabajadores de #Notimex, afirma Leopoldo Maldonado, Director Regional de Artículo 19. 

Escúchalo completo aquí Declaraciones de AMLO pretenden anular el mensaje desacreditando al...
Advierte la organización sin fines de lucro Artículo 19 que las declaraciones del presidente de México, Andrés Manuel López Obrador contra organizaciones de ...
youtube.com",▶ 🎙,8,35,85,['https://pbs.twimg.com/card_img/1377454353032839170/eSouD1JL?format=jpg&name=240x240'],https://twitter.com/Ibero909FM/status/1377676330876203009
CitaTextual,@citatextualnews,2021-04-01T17:18:45.000Z,"#Notimex: el escándalo de los comisarios  https://citatextual.com/notimex-el-escandalo-de-los-comisarios/… Desde diciembre de 2018 inició la destrucción de Notimex. Una de las primeras medidas para logarla, fue la designación de #Sanjuana Martínez como su directora, escribe 
@jandradej
 @ElBastiondeP",,,2,3,['https://pbs.twimg.com/media/Ex55MQFUcAAh5g5?format=jpg&name=small'],https://twitter.com/citatextualnews/status/1377671790793736193
Chaco,@chacoattack,2021-04-01T17:10:55.000Z,"#Latinus #LaJornada #Article19 #Notimex esto ya descontrolo, el todos contra todos, pus que no éramos compadres? 

La vorágine ya comenzó",,,,,[],https://twitter.com/chacoattack/status/1377669820943101954
Por la 4ª Transformación de,@4Tdesdeabajo,2021-04-01T16:43:05.000Z,"Anoche 
@luisghernan
 entrevistó a 
@SanjuanaNotimex
 oigan uds mismos su nefasta retórica #Notimex 
¿Por qué defender a alguien así enlodando a la 4ªT? #LaJornada
Ojo 
 injerencia gringa aparte y ONGs ni entes derechosos como 
@article19mex
 y 
@Signa_Lab31 Marzo 2021 - RADAR | Notimex… la historia que no se cuenta, con...
Conoce nuestra segunda Rifa Rompeviento TV:https://www.rompeviento.tv/ii-rifa-rv/¡Conéctate a la 8 pm en #RADAR 
youtube.com",➡ 📡 🔸,,,,['https://pbs.twimg.com/card_img/1377442649506992137/BukHLR1A?format=jpg&name=240x240'],https://twitter.com/4Tdesdeabajo/status/1377662814588899328
Sofía,@CortinaDeNube,2021-04-01T16:21:19.000Z,"Replying to 
@monerorapeVale la pena la defensa irrestricta a San Juana Martínez y su actual #Notimex?
SanJuanaMartínez que manipuló y se negó al cumplimiento de un laudo laboral de la 
@STPS_mx
 @LuisaAlcalde
 hoy el caso se convierte inexplicablemente en una andanada Vs 
@article19mex
 y 
@AristeguiOnline",,,,1,[],https://twitter.com/CortinaDeNube/status/1377657338417545232
Luisa,@ferna18_nl,2021-04-01T16:20:17.000Z,"Replying to 
@SanjuanaNotimex
 and 
@ZuritaCarpio#SanjuanaNoEstasSola 
Apoyo a #Notimex queremos fuera a los corruptos del pasado...No te rindas 
@SanjuanaNotimex",,,,,[],https://twitter.com/ferna18_nl/status/1377657077309566977
Luisa,@ferna18_nl,2021-04-01T16:18:31.000Z,"Replying to 
@SanjuanaNotimex
 and 
@lajornadaonlineTodo nuestro apoyo 
@SanjuanaNotimex
 
No te rindas,  a las presiones de una Arpía como 
@AristeguiOnline
 y su grupo de mafiosos, a las órdenes de intereses internacionales.
#nosoybot 
Y apoyo a:
#Notimex 
#SanjuanaNoEstasSola",,,,,[],https://twitter.com/ferna18_nl/status/1377656633946439682
MónicaG,@maamasha,2021-04-01T16:10:50.000Z,"Replying to 
@LuuMafu
 @SanjuanaNotimex
 and 
@article19mexClaro ahora #SanjuanaNotimex es funcionaria, recibe mes a mes un jugoso salario a pesar de que #Notimex está en Huelga. Ahora ya no es la periodista detenida por un proceso legal con su ex esposo, que buscó y encontró la solidaridad de organismos defensores de derechos humanos.",,,,,[],https://twitter.com/maamasha/status/1377654699533434880
