UserScreenName,UserName,Timestamp,Text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
FRANCISCO VICTORIA,@mewatsoncrikc,2021-01-20T19:39:23.000Z,"Replying to 
@TwitterMexico#TwitterEsPanista",,,,,['https://pbs.twimg.com/media/EsMwgEiXUAEHRWc?format=jpg&name=medium'],https://twitter.com/mewatsoncrikc/status/1351977643504259072
FRANCISCO VICTORIA,@mewatsoncrikc,2021-01-20T19:34:17.000Z,"Replying to 
@joecorvette67
 @SantHipolito
 and 
@revistapolemon#TwitterEsPanista",,1,2,2,['https://pbs.twimg.com/media/EsMvVhAXUAIwye3?format=jpg&name=medium'],https://twitter.com/mewatsoncrikc/status/1351976362534457352
octavio silva,@octaviosilva2,2021-01-21T23:59:46.000Z,Y no me importa #TwitterEsPanista,,,,,[],https://twitter.com/octaviosilva2/status/1352405557806825473
Marcos Jared,@usarnamejared,2021-01-21T23:59:41.000Z,Ups #TwitterEsPanista,,,1,1,[],https://twitter.com/usarnamejared/status/1352405539544834049
Vernova,@VernovaN,2021-01-21T23:59:37.000Z,#TwitterEsPanista,🎻 🎼 🏛 📚 📔 📙 📖 📓 📒,,1,1,[],https://twitter.com/VernovaN/status/1352405522645975053
"Elena Bodoque de Apatzingán, Mich.",@ElenaMendozsaa,2021-01-21T23:59:32.000Z,"Van, manipulan una noticia o declaración...o mienten de forma descarada, todos, en un nado sincronizado perfecto. Luego, se aclara, los desmienten y callan como momias...listos para seguir mintiendo. 
Así es la #OposicionMoralmenteDerrotada 
#TwitterEsPanista",,,,2,[],https://twitter.com/ElenaMendozsaa/status/1352405501687042050
Anti-DERECHISTAS,@ADerechistas,2021-01-21T23:59:20.000Z,"#TwitterEsPanista jajajaj como les esta ardiendo esa tendencia, ese hastag va llegar hasta el culo de los democratas que le hicieron f.rraude a t.ruupm jajajajajaj",,,,,[],https://twitter.com/ADerechistas/status/1352405449602002945
Maggie Lee,@BarbaraAl67,2021-01-21T23:59:19.000Z,"#TwitterEsPanistaQuote Tweet
Nacho Rodriguez (El Chapucero)
@NachoRgz
 · Jan 21
Ya borraron el HT #TwitterEsPanista plop",,,,,['https://pbs.twimg.com/profile_images/854045367356149760/_Jek25GK_normal.jpg'],https://twitter.com/BarbaraAl67/status/1352405447882362880
Amlover#75,@mefromRA,2021-01-21T23:59:16.000Z,Dicen que si usas el tag #TwitterEsPanista un tal Hugo te cierra la cuenta. Vamos a ver qué tanta libertad de expresión hay en esta red social.,,,,,[],https://twitter.com/mefromRA/status/1352405433156251654
Moisés Torres López,@psic_moises,2021-01-21T23:58:58.000Z,"Es evidente es sesgo político que existe en 
@TwitterMexico
.  Resulta preocupante que dejen pasar las agresiones provenientes de la derecha y censuren sin mayor preocupación a a personajes de izquierda. #TwitterEsPanistaQuote Tweet
Rafael Barajas
@fisgonmonero
 · Jan 21
Dejan pasar legiones de bots agresivos, pero tiran la cuenta de la inteligente @Miriam_Junne. 
Mi cariño y solidaridad con ella.

Twitter creció porque ayudó a eludir la censura de los consorcios mediáticos. 
¿Quiere ser ahora un consorcio que censura?
#TwitterEsPanista",,,1,1,['https://pbs.twimg.com/profile_images/795746953569140736/FxpiMmqL_normal.jpg'],https://twitter.com/psic_moises/status/1352405358082457604
"dvd pulg
/
/",@dvdpulg,2021-01-21T23:58:38.000Z,"Esta cabron lo que #TwitterEsPanista #TwitterMexico está realizando 
@Miriam_Junne",🤝,,2,4,['https://pbs.twimg.com/media/EsS1bVXVEAEcEYV?format=jpg&name=large'],https://twitter.com/dvdpulg/status/1352405275043524609
Matias,@MatiasDuChamp,2021-01-21T23:58:36.000Z,#TwitterEsPanista está coptado por borolas.,,,,1,[],https://twitter.com/MatiasDuChamp/status/1352405265107333122
Mahsati ☭,@ClaoCarlet,2021-01-21T23:58:36.000Z,"Replying to 
@30jr39Así es.
#TwitterEsPanista",🌒 🌓 🌔 🌕 🌖 🌗 🌘 🌙,2,25,49,['https://pbs.twimg.com/media/EsS1a7gW8AYKUTA?format=jpg&name=medium'],https://twitter.com/ClaoCarlet/status/1352405264809553921
Denver Lopez,@Milanmikky,2021-01-21T23:58:36.000Z,"Si lo sabe 
@HugoRodriguezN
 
Que lo sepa todo México 
#TwitterEsPanista 

Que inche asco",Ⓜ,,9,7,[],https://twitter.com/Milanmikky/status/1352405264046190593
Lorena Salazar,@LorenaS70621343,2021-01-21T23:58:27.000Z,"#TwitterEsPanistaQuote Tweet
Revolución 3.0
@Revolucion3_0
 · Jan 21
Tuitero denuncia que la red social favorece a derechistas cercanos a Calderón; minutos más tarde es suspendido http://ow.ly/Asrj30rtErr",,,,1,['https://pbs.twimg.com/profile_images/1318660506111168513/kf0Sjvdi_normal.jpg'],https://twitter.com/LorenaS70621343/status/1352405228956626947
paola gomez,@piolis0007,2021-01-21T23:58:23.000Z,"Replying to 
@CaniBasutHasta el color azul...
#TwitterEsPanista",,,3,3,[],https://twitter.com/piolis0007/status/1352405210426183682
Pamela #UsaCubrebocas tápate BOCA Y NARIZ,@PamelaCDMX,2021-01-21T23:58:22.000Z,"#TwitterEsPanista ¡Que buena noticia! Más gente trabajadora, inteligente y que sólo busca el bien de otros.",,3,3,12,[],https://twitter.com/PamelaCDMX/status/1352405208656195584
Ulises Trieste,@Biologictime,2021-01-21T23:58:20.000Z,#TwitterEsPanista,,1,,,[],https://twitter.com/Biologictime/status/1352405199487434755
Alexis Daniel,@SocialDmocrata_,2021-01-21T23:58:06.000Z,"Legisladores pro 4T, espero que presenten una iniciativa que ayude a regularizar las redes sociales en este país, así ya no puedan influir de manera sesgada en la opinión pública 
 #TwitterEsPanista",,4,15,28,[],https://twitter.com/SocialDmocrata_/status/1352405140708470784
𝗝𝘂𝗮𝗻𝗶𝘁𝗼 𝗙𝗮𝗿𝗶𝗮𝘀,@FalacioDeHierro,2021-01-21T23:58:02.000Z,"Hace falta ser muy pndejo y tener nula autoestima para quejarse de Twitter y seguir aquí.

#TwitterEsPanista",,,,1,[],https://twitter.com/FalacioDeHierro/status/1352405122710556672
Marcos Jared,@usarnamejared,2021-01-21T23:58:00.000Z,#TwitterEsPanista,,,,,[],https://twitter.com/usarnamejared/status/1352405112979943424
